,,Weights
"1,19",ISD,0.32603
"1,19",VLT,0.00353
"1,19",FSD,0.13068
"1,19",GHY,0.00068
"1,19",JLS,0.00068
"1,19",IVH,0.00068
"1,19",AIF,0.01734
"1,19",HYB,0.10734
"1,19",EIC,0.00734
"1,18",MPV,0.00556
"1,18",DHY,0.0585
"1,18",MCI,0.0085
"1,18",AWF,0.00183
"1,18",DHF,0.08612
"1,18",BGH,0.00227
"1,18",EAD,0.12644
"1,18",RA,0.00553
"1,18",KIO,0.02053
"1,18",ISD,0.35164
"1,18",VLT,0.00914
"1,18",FSD,0.13342
"1,18",GHY,9e-05
"1,18",JLS,0.00409
"1,18",IVH,0.00659
"1,18",AIF,0.01659
"1,18",HYB,0.16159
"1,18",EIC,0.00159
"1,17",DHY,0.05882
"1,17",MCI,0.00882
"1,17",AWF,0.00216
"1,17",DHF,0.08644
"1,17",BGH,0.0026
"1,17",EAD,0.13676
"1,17",RA,0.00585
"1,17",KIO,0.02085
"1,17",ISD,0.35197
"1,17",VLT,0.00947
"1,17",FSD,0.13375
"1,17",GHY,0.00042
"1,17",JLS,0.00642
"1,17",IVH,0.00642
"1,17",AIF,0.00308
"1,17",HYB,0.16308
"1,17",EIC,0.00308
"1,16",MCI,0.0025
"1,16",AWF,0.0065
"1,16",DHF,0.08079
"1,16",BGH,0.00771
"1,16",EAD,0.16271
"1,16",RA,0.0018
"1,16",KIO,0.0578
"1,16",ISD,0.3478
"1,16",VLT,0.0078
"1,16",FSD,0.14066
"1,16",GHY,0.00232
"1,16",JLS,0.00632
"1,16",IVH,0.00882
"1,16",AIF,0.00549
"1,16",HYB,0.16049
"1,16",EIC,0.00049
"1,15",AWF,0.00667
"1,15",DHF,0.09095
"1,15",BGH,0.00788
"1,15",EAD,0.16288
"1,15",RA,0.00197
"1,15",KIO,0.05797
"1,15",ISD,0.34797
"1,15",VLT,0.00797
"1,15",FSD,0.13225
"1,15",GHY,0.00225
"1,15",JLS,0.00425
"1,15",IVH,0.00675
"1,15",AIF,0.01675
"1,15",HYB,0.14675
"1,15",EIC,0.00675
"1,14",DHF,0.09143
"1,14",BGH,0.00835
"1,14",EAD,0.16335
"1,14",RA,0.00244
"1,14",KIO,0.05844
"1,14",ISD,0.34844
"1,14",VLT,0.00844
"1,14",FSD,0.13416
"1,14",GHY,0.00082
"1,14",JLS,0.00282
"1,14",IVH,0.00782
"1,14",AIF,0.01782
"1,14",HYB,0.14782
"1,14",EIC,0.00782
"1,13",BGH,0.01692
"1,13",EAD,0.18109
"1,13",RA,0.00109
"1,13",KIO,0.05809
"1,13",ISD,0.35809
"1,13",VLT,0.02684
"1,13",FSD,0.16113
"1,13",GHY,0.00113
"1,13",JLS,0.00313
"1,13",IVH,0.00813
"1,13",AIF,0.00813
