,,Weights
"1,28",EMO,0.001
"1,28",SRV,0.001
"1,28",SZC,0.061
"1,28",CEN,0.001
"1,27",AWP,0.007
"1,27",BOE,0.018
"1,27",DPG,0.007
"1,27",NFJ,0.009
"1,27",AGD,0.002
"1,27",AEF,0.003
"1,27",ADX,0.503
"1,27",AOD,0.002
"1,27",BGR,0.005
"1,27",CPZ,0.015
"1,27",GLQ,0.003
"1,27",BCX,0.003
"1,27",JEQ,0.003
"1,27",IGR,0.005
"1,27",ASA,0.01
"1,27",PEO,0.034
"1,27",BIF,0.025
"1,27",CEM,0.003
"1,27",MIE,0.008
"1,27",CET,0.222
"1,27",DSE,0.003
"1,27",CTR,0.0
"1,27",GRF,0.048
"1,27",EMO,0.001
"1,27",SRV,0.001
"1,27",SZC,0.061
"1,27",CEN,0.001
"1,26",BOE,0.016
"1,26",DPG,0.005
"1,26",NFJ,0.007
"1,26",AGD,0.0
"1,26",AEF,0.0
"1,26",ADX,0.541
"1,26",AOD,0.0
"1,26",BGR,0.003
"1,26",CPZ,0.012
"1,26",GLQ,0.001
"1,26",BCX,0.001
"1,26",JEQ,0.001
"1,26",IGR,0.003
"1,26",ASA,0.006
"1,26",PEO,0.031
"1,26",BIF,0.014
"1,26",CEM,0.0
"1,26",MIE,0.0
"1,26",CET,0.23
"1,26",DSE,0.0
"1,26",CTR,0.0
"1,26",GRF,0.055
"1,26",EMO,0.0
"1,26",SRV,0.0
"1,26",SZC,0.065
"1,26",CEN,0.007
"2,49",STK,0.0
"2,49",ADX,0.395
"2,49",CHN,0.0
"2,49",MIE,0.0
"2,49",SZC,0.135
"2,49",CII,0.05
"2,49",GRF,0.09
"2,49",BCX,0.0
"2,49",CRF,0.0
"2,49",CEN,0.06
"2,49",ASA,0.0
"2,49",AGD,0.0
"2,49",AIO,0.0
"2,49",RFI,0.0
"2,49",BME,0.0
"2,49",CPZ,0.01
"2,49",CEM,0.0
"2,49",BSTZ,0.0
"2,49",NFJ,0.12
"2,49",RNP,0.0
"2,49",EXD,0.0
"2,49",EOI,0.1
"2,49",CTR,0.0
"2,49",GLQ,0.0
"2,49",BGR,0.0
"2,49",JEQ,0.0
"2,49",DSE,0.0
"2,49",BDJ,0.01
"2,49",SRV,0.0
"2,49",CLM,0.0
"2,49",EMO,0.0
"2,49",DPG,0.0
"2,49",AWP,0.0
"2,49",EOS,0.0
"2,49",BIF,0.0
"2,49",ETJ,0.0
"2,49",IAF,0.0
